series_id,step,timestamp,anglez,enmo,sleep
038441c925bb,4992,2018-08-15 02:26:00+00:00,-78.6906,0.0099,onset
038441c925bb,10932,2018-08-15 10:41:00+00:00,-61.5782,0.0263,wakeup
038441c925bb,20244,2018-08-15 23:37:00+00:00,-6.3874,0.0182,onset
038441c925bb,27492,2018-08-16 09:41:00+00:00,-45.3551,0.0165,wakeup
038441c925bb,39996,2018-08-17 03:03:00+00:00,-1.7867,0.0,onset
038441c925bb,44400,2018-08-17 09:10:00+00:00,-64.7134,0.0251,wakeup
038441c925bb,57240,2018-08-18 03:00:00+00:00,-71.6435,0.0105,onset
038441c925bb,62856,2018-08-18 10:48:00+00:00,37.7944,0.0,wakeup
038441c925bb,91296,2018-08-20 02:18:00+00:00,-71.0951,0.0094,onset
038441c925bb,97860,2018-08-20 11:25:00+00:00,-45.0219,0.0106,wakeup
038441c925bb,109500,2018-08-21 03:35:00+00:00,1.4845,0.0157,onset
038441c925bb,118524,2018-08-21 16:07:00+00:00,-62.1652,0.0576,wakeup
038441c925bb,127296,2018-08-22 04:18:00+00:00,-14.54,0.0264,onset
038441c925bb,133332,2018-08-22 12:41:00+00:00,-73.1306,0.0234,wakeup
038441c925bb,159972,2018-08-24 01:41:00+00:00,4.9063,0.0109,onset
038441c925bb,167400,2018-08-24 12:00:00+00:00,-28.846,0.03,wakeup
038441c925bb,177036,2018-08-25 01:23:00+00:00,29.7235,0.0011,onset
038441c925bb,180804,2018-08-25 06:37:00+00:00,51.511,0.0,wakeup
038441c925bb,194220,2018-08-26 01:15:00+00:00,-42.9748,0.0373,onset
038441c925bb,202272,2018-08-26 12:26:00+00:00,-42.578,0.0159,wakeup
038441c925bb,212304,2018-08-27 02:22:00+00:00,70.5124,0.0003,onset
038441c925bb,219384,2018-08-27 12:12:00+00:00,-74.7826,0.0156,wakeup
038441c925bb,246324,2018-08-29 01:37:00+00:00,-1.0753,0.0013,onset
038441c925bb,253704,2018-08-29 11:52:00+00:00,-8.5435,0.0,wakeup
038441c925bb,264144,2018-08-30 02:22:00+00:00,-36.2325,0.0194,onset
038441c925bb,270132,2018-08-30 10:41:00+00:00,-31.9334,0.0109,wakeup
038441c925bb,281376,2018-08-31 02:18:00+00:00,-81.3777,0.013,onset
038441c925bb,287772,2018-08-31 11:11:00+00:00,48.3861,0.0,wakeup
038441c925bb,297576,2018-09-01 00:48:00+00:00,-43.8432,0.0,onset
038441c925bb,305232,2018-09-01 11:26:00+00:00,77.3242,0.0,wakeup
038441c925bb,315900,2018-09-02 02:15:00+00:00,41.3635,0.0044,onset
038441c925bb,322596,2018-09-02 11:33:00+00:00,27.576,0.0123,wakeup
038441c925bb,333492,2018-09-03 02:41:00+00:00,0.0,0.0051,onset
038441c925bb,339060,2018-09-03 10:25:00+00:00,-44.1332,0.025,wakeup
038441c925bb,349596,2018-09-04 01:03:00+00:00,47.9881,0.0,onset
038441c925bb,355944,2018-09-04 09:52:00+00:00,-13.1907,0.0231,wakeup
038441c925bb,367020,2018-09-05 01:15:00+00:00,-47.9554,0.001,onset
038441c925bb,369912,2018-09-05 05:16:00+00:00,-28.2804,0.0066,wakeup
03d92c9f6f8a,5928,2018-06-01 00:14:00+00:00,51.5223,0.0816,onset
03d92c9f6f8a,13524,2018-06-01 10:47:00+00:00,61.7611,0.0,wakeup
03d92c9f6f8a,23220,2018-06-02 00:15:00+00:00,-28.8639,0.1251,onset
03d92c9f6f8a,30276,2018-06-02 10:03:00+00:00,-25.6934,0.0,wakeup
03d92c9f6f8a,40668,2018-06-03 00:29:00+00:00,19.2442,0.0,onset
03d92c9f6f8a,47952,2018-06-03 10:36:00+00:00,78.3559,0.0,wakeup
03d92c9f6f8a,75756,2018-06-05 01:13:00+00:00,21.6674,0.0,onset
03d92c9f6f8a,82800,2018-06-05 11:00:00+00:00,-16.3742,0.0,wakeup
03d92c9f6f8a,178464,2018-06-10 23:52:00+00:00,-73.0902,0.0117,onset
03d92c9f6f8a,186564,2018-06-11 11:07:00+00:00,-61.0271,0.0,wakeup
03d92c9f6f8a,196260,2018-06-12 00:35:00+00:00,-9.6597,0.0,onset
03d92c9f6f8a,203844,2018-06-12 11:07:00+00:00,-45.5337,0.0,wakeup
03d92c9f6f8a,230820,2018-06-14 00:35:00+00:00,40.0117,0.0,onset
03d92c9f6f8a,241872,2018-06-14 15:56:00+00:00,-84.6534,1e-04,wakeup
03d92c9f6f8a,248124,2018-06-15 00:37:00+00:00,39.6743,0.0,onset
03d92c9f6f8a,255060,2018-06-15 10:15:00+00:00,19.3389,1e-04,wakeup
0402a003dae9,8364,2018-12-19 05:22:00+00:00,29.0663,0.0,onset
0402a003dae9,12948,2018-12-19 11:44:00+00:00,42.9404,0.0008,wakeup
0402a003dae9,24396,2018-12-20 03:38:00+00:00,1.8807,0.0099,onset
0402a003dae9,29964,2018-12-20 11:22:00+00:00,-39.7638,0.0507,wakeup
0402a003dae9,94032,2018-12-24 04:21:00+00:00,-77.3549,0.0303,onset
0402a003dae9,96180,2018-12-24 07:20:00+00:00,-84.6534,0.0355,wakeup
0402a003dae9,112992,2018-12-25 06:41:00+00:00,23.8278,0.0116,onset
0402a003dae9,116364,2018-12-25 11:22:00+00:00,59.2468,0.0,wakeup
0402a003dae9,128268,2018-12-26 03:54:00+00:00,-47.5677,0.0334,onset
0402a003dae9,134004,2018-12-26 11:52:00+00:00,-70.4817,0.018,wakeup
0402a003dae9,143436,2018-12-27 00:58:00+00:00,-28.5155,0.0452,onset
0402a003dae9,147504,2018-12-27 06:37:00+00:00,11.6897,0.0,wakeup
0402a003dae9,162420,2018-12-28 03:20:00+00:00,-73.838,0.0209,onset
0402a003dae9,168252,2018-12-28 11:26:00+00:00,78.1611,0.0,wakeup
0402a003dae9,179880,2018-12-29 03:35:00+00:00,2.2543,0.0504,onset
0402a003dae9,185892,2018-12-29 11:56:00+00:00,49.8525,0.0,wakeup
0402a003dae9,196632,2018-12-30 02:51:00+00:00,-76.1908,0.0159,onset
0402a003dae9,204864,2018-12-30 14:17:00+00:00,-21.433,0.0178,wakeup
0402a003dae9,214752,2018-12-31 04:01:00+00:00,39.6861,0.0,onset
0402a003dae9,220500,2018-12-31 12:00:00+00:00,65.2085,0.0,wakeup
0402a003dae9,233976,2019-01-01 06:43:00+00:00,56.6014,0.0664,onset
0402a003dae9,238404,2019-01-01 12:52:00+00:00,-5.8479,0.0022,wakeup
